wave,flux,err
2.489908e+03,5.006618e-03,2.409040e-03
2.490367e+03,1.958870e-01,2.697432e-03
2.490826e+03,2.002327e-01,2.696126e-03
2.491285e+03,1.480586e-01,2.646681e-03
2.491744e+03,2.984766e-01,2.751729e-03
2.492202e+03,4.020708e-01,2.911459e-03
2.492661e+03,2.232556e-01,2.704581e-03
2.493120e+03,1.021215e-01,2.551368e-03
2.493579e+03,2.148025e-01,2.679520e-03
2.494037e+03,7.875656e-01,3.158464e-03
2.494496e+03,3.817413e-01,2.856538e-03
2.494954e+03,1.343311e-01,2.561308e-03
2.495413e+03,4.750190e-01,2.882592e-03
2.495871e+03,4.461066e-01,2.850105e-03
2.496329e+03,2.283939e-01,2.626094e-03
2.496788e+03,1.749803e-01,2.606117e-03
2.497246e+03,5.110030e-01,2.881166e-03
2.497704e+03,5.651135e-01,2.930487e-03
2.498162e+03,1.009520e-01,2.504468e-03
2.498620e+03,3.459170e-01,2.738904e-03
2.499078e+03,8.875366e-02,2.484920e-03
2.499536e+03,1.631966e-01,2.525243e-03
2.499994e+03,1.902242e-01,2.548178e-03
2.500452e+03,1.027038e-01,2.441940e-03
2.500910e+03,1.638008e-01,2.632413e-03
2.501368e+03,7.353574e-01,3.073554e-03
2.501825e+03,3.986286e-01,2.800880e-03
2.502283e+03,1.138642e-01,2.537963e-03
2.502741e+03,3.262448e-01,2.761561e-03
2.503198e+03,2.359540e-01,2.662303e-03
2.503656e+03,1.012768e-01,2.543520e-03
2.504113e+03,1.717541e-01,2.616620e-03
2.504571e+03,9.708035e-01,3.266413e-03
2.505028e+03,4.163728e-01,2.712747e-03
2.505485e+03,1.498975e-01,2.459716e-03
2.505942e+03,1.750422e-01,2.495286e-03
2.506400e+03,2.289976e-01,2.513474e-03
2.506857e+03,1.477854e-01,2.428653e-03
2.507314e+03,4.389145e-01,2.733649e-03
2.507771e+03,2.189815e-01,2.530332e-03
2.508228e+03,4.205758e-01,2.691319e-03
2.508685e+03,1.426964e-01,2.442750e-03
2.509141e+03,4.527274e-01,2.754792e-03
2.509598e+03,1.940891e-01,2.480172e-03
2.510055e+03,5.958277e-01,2.889740e-03
2.510512e+03,8.299468e-01,3.023580e-03
2.510968e+03,7.990015e-01,2.999097e-03
2.511425e+03,5.421959e-01,2.788499e-03
2.511881e+03,3.419891e-01,2.632709e-03
2.512338e+03,6.200911e-01,2.850721e-03
2.512794e+03,1.665712e-01,2.408884e-03
2.513251e+03,1.646448e-01,2.460398e-03
2.513707e+03,3.919107e-01,2.701936e-03
2.514163e+03,1.899590e-01,2.436658e-03
2.514619e+03,3.222570e-01,2.574491e-03
2.515076e+03,1.597500e-01,2.448871e-03
2.515532e+03,1.514738e-01,2.484949e-03
2.515988e+03,5.457245e-01,2.801892e-03
2.516444e+03,1.196373e-01,2.373658e-03
2.516900e+03,2.367655e-01,2.497935e-03
2.517356e+03,1.239449e-01,2.387006e-03
2.517811e+03,2.165188e-01,2.490362e-03
2.518267e+03,5.156471e-01,2.738502e-03
2.518723e+03,3.187483e-01,2.539676e-03
2.519179e+03,1.890087e-01,2.439964e-03
2.519634e+03,4.045146e-01,2.654594e-03
2.520090e+03,3.925973e-01,2.642962e-03
2.520545e+03,1.383791e-01,2.397239e-03
2.521001e+03,1.050954e-01,2.386554e-03
2.521456e+03,5.288200e-01,2.753234e-03
2.521911e+03,1.173801e-01,2.364517e-03
2.522367e+03,2.196782e-01,2.459860e-03
2.522822e+03,1.430545e-01,2.379645e-03
2.523277e+03,1.122063e-01,2.362685e-03
2.523732e+03,1.722413e-01,2.450560e-03
2.524187e+03,2.311067e-01,2.483838e-03
2.524642e+03,2.548513e-01,2.528838e-03
2.525097e+03,9.819097e-02,2.309892e-03
2.525552e+03,8.646719e-02,2.341345e-03
2.526007e+03,1.598514e-01,2.478341e-03
2.526462e+03,9.369549e-02,2.334015e-03
2.526917e+03,3.599790e-01,2.598061e-03
2.527371e+03,8.781020e-01,2.999347e-03
2.527826e+03,2.467249e-01,2.489883e-03
2.528281e+03,2.907991e-01,2.551202e-03
2.528735e+03,9.579488e-02,2.363142e-03
2.529190e+03,3.441955e-01,2.617153e-03
2.529644e+03,3.253223e-01,2.580366e-03
2.530098e+03,4.207439e-01,2.763795e-03
2.530553e+03,2.797747e-01,2.582835e-03
2.531007e+03,4.203328e-01,2.732083e-03
2.531461e+03,1.410420e-01,2.481212e-03
2.531915e+03,1.521714e-01,2.491098e-03
2.532370e+03,6.048296e-01,2.897243e-03
2.532824e+03,5.623649e-01,2.836014e-03
2.533278e+03,2.688429e-01,2.644831e-03
2.533732e+03,8.026001e-02,2.423868e-03
2.534185e+03,9.720147e-02,2.429247e-03
2.534639e+03,6.788569e-02,2.464564e-03
2.535093e+03,2.744545e-01,2.638446e-03
2.535547e+03,9.650754e-02,2.472412e-03
2.536000e+03,5.579477e-01,2.860273e-03
2.536454e+03,1.656725e-01,2.543889e-03
2.536908e+03,3.444157e-01,2.688138e-03
2.537361e+03,3.019720e-01,2.579292e-03
2.537815e+03,1.069194e-01,2.387067e-03
2.538268e+03,3.412670e-01,2.587167e-03
2.538721e+03,1.361999e-01,2.390734e-03
2.539175e+03,6.968964e-02,2.350659e-03
2.539628e+03,8.035096e-02,2.356191e-03
2.540081e+03,7.573108e-02,2.384476e-03
2.540534e+03,9.206402e-02,2.361204e-03
2.540987e+03,1.645603e-01,2.442570e-03
2.541440e+03,1.878519e-01,2.464823e-03
2.541893e+03,1.049473e-01,2.419900e-03
