visit,file,frmid,date_obs (UTC),tai (s since 2000-01-01T00:00:00 TAI),exptime (ms),ra (deg),dec (deg),roll (deg)
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_49_frmid_3726_V2_nimgpkts_444_L1id20927_botrows_24_midrows_56.fits,3726,2024-12-22T03:49:26.000,788154603,60000,127.467324,22.608892,-9.056058
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_51_frmid_3727_V2_nimgpkts_440_L1id20926_botrows_24_midrows_50.fits,3727,2024-12-22T03:51:31.000,788154728,60000,127.467045,22.612923,-9.054096
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_53_frmid_3728_V2_nimgpkts_441_L1id20925_botrows_21_midrows_55.fits,3728,2024-12-22T03:53:36.000,788154853,60000,127.468055,22.611166,-9.057652
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_55_frmid_3729_V2_nimgpkts_443_L1id20924_botrows_21_midrows_56.fits,3729,2024-12-22T03:55:41.000,788154978,60000,127.470161,22.609085,-9.056064
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_57_frmid_3730_V2_nimgpkts_445_L1id20656_botrows_24_midrows_56.fits,3730,2024-12-22T03:57:46.000,788155103,60000,127.468494,22.611859,-9.058384
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_59_frmid_3731_V2_nimgpkts_446_L1id19253_botrows_24_midrows_56.fits,3731,2024-12-22T03:59:51.000,788155228,60000,127.468812,22.610600,-9.053141
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_01_frmid_3732_V2_nimgpkts_446_L1id19252_botrows_24_midrows_56.fits,3732,2024-12-22T04:01:56.000,788155353,60000,127.468361,22.609820,-9.060920
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_04_frmid_3733_V2_nimgpkts_446_L1id19251_botrows_24_midrows_56.fits,3733,2024-12-22T04:04:02.000,788155479,60000,127.470742,22.610889,-9.059831
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_06_frmid_3734_V2_nimgpkts_446_L1id19250_botrows_24_midrows_56.fits,3734,2024-12-22T04:06:07.000,788155604,60000,127.469832,22.610083,-9.058490
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_08_frmid_3735_V2_nimgpkts_446_L1id19249_botrows_24_midrows_56.fits,3735,2024-12-22T04:08:12.000,788155729,60000,127.468575,22.610705,-9.054435
