visit,file,frmid,date_obs (UTC),tai (s since 2000-01-01T00:00:00 TAI),exptime (ms),ra (deg),dec (deg),roll (deg)
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_49_frmid_3726_V2_nimgpkts_444_L1id20927_botrows_24_midrows_56.fits,3726,2024-12-22T03:49:25.000,788154602,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_51_frmid_3727_V2_nimgpkts_440_L1id20926_botrows_24_midrows_50.fits,3727,2024-12-22T03:51:30.000,788154727,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_53_frmid_3728_V2_nimgpkts_441_L1id20925_botrows_21_midrows_55.fits,3728,2024-12-22T03:53:35.000,788154852,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_55_frmid_3729_V2_nimgpkts_443_L1id20924_botrows_21_midrows_56.fits,3729,2024-12-22T03:55:40.000,788154977,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_57_frmid_3730_V2_nimgpkts_445_L1id20656_botrows_24_midrows_56.fits,3730,2024-12-22T03:57:45.000,788155102,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_03_59_frmid_3731_V2_nimgpkts_446_L1id19253_botrows_24_midrows_56.fits,3731,2024-12-22T03:59:50.000,788155227,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_01_frmid_3732_V2_nimgpkts_446_L1id19252_botrows_24_midrows_56.fits,3732,2024-12-22T04:01:55.000,788155352,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_04_frmid_3733_V2_nimgpkts_446_L1id19251_botrows_24_midrows_56.fits,3733,2024-12-22T04:04:00.000,788155477,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_06_frmid_3734_V2_nimgpkts_446_L1id19250_botrows_24_midrows_56.fits,3734,2024-12-22T04:06:05.000,788155602,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_04_08_frmid_3735_V2_nimgpkts_446_L1id19249_botrows_24_midrows_56.fits,3735,2024-12-22T04:08:10.000,788155727,60000,127.469194,22.610758,-9.056348
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_05_23_frmid_3736_V2_nimgpkts_446_L1id19804_botrows_24_midrows_56.fits,3736,2024-12-22T05:23:15.000,788160232,60000,127.455736,22.616786,-9.056365
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_05_25_frmid_3737_V2_nimgpkts_446_L1id19803_botrows_24_midrows_56.fits,3737,2024-12-22T05:25:20.000,788160357,60000,127.455736,22.616786,-9.056365
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_05_27_frmid_3738_V2_nimgpkts_446_L1id19802_botrows_24_midrows_56.fits,3738,2024-12-22T05:27:25.000,788160482,60000,127.455736,22.616786,-9.056365
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_05_29_frmid_3739_V2_nimgpkts_446_L1id19801_botrows_24_midrows_56.fits,3739,2024-12-22T05:29:30.000,788160607,60000,127.455736,22.616786,-9.056365
Visit1,cute_TRIM2D_scan_targetID340_2024_12_22_05_31_frmid_3740_V2_nimgpkts_445_L1id19779_botrows_23_midrows_56.fits,3740,2024-12-22T05:31:35.000,788160732,60000,127.455736,22.616786,-9.056365
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_32_frmid_4860_V2_nimgpkts_446_L1id19805_botrows_24_midrows_56.fits,4860,2025-01-12T04:32:25.000,789971582,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_35_frmid_4861_V2_nimgpkts_446_L1id21598_botrows_24_midrows_56.fits,4861,2025-01-12T04:35:10.000,789971747,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_37_frmid_4862_V2_nimgpkts_443_L1id21015_botrows_24_midrows_53.fits,4862,2025-01-12T04:37:55.000,789971912,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_40_frmid_4863_V2_nimgpkts_446_L1id19431_botrows_24_midrows_56.fits,4863,2025-01-12T04:40:40.000,789972077,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_43_frmid_4864_V2_nimgpkts_446_L1id19430_botrows_24_midrows_56.fits,4864,2025-01-12T04:43:25.000,789972242,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_46_frmid_4865_V2_nimgpkts_445_L1id19429_botrows_24_midrows_56.fits,4865,2025-01-12T04:46:10.000,789972407,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_48_frmid_4866_V2_nimgpkts_446_L1id19428_botrows_24_midrows_56.fits,4866,2025-01-12T04:48:55.000,789972572,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_51_frmid_4867_V2_nimgpkts_440_L1id20930_botrows_18_midrows_56.fits,4867,2025-01-12T04:51:40.000,789972737,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_54_frmid_4868_V2_nimgpkts_446_L1id21600_botrows_24_midrows_56.fits,4868,2025-01-12T04:54:25.000,789972902,100000,120.399894,24.817115,26.143111
Visit2,cute_TRIM2D_scan_targetID340_2025_01_12_04_57_frmid_4869_V2_nimgpkts_444_L1id21599_botrows_24_midrows_54.fits,4869,2025-01-12T04:57:10.000,789973067,100000,120.399894,24.817115,26.143111
